가까이	靠近	有時	結局	這些
스무째	第二十天	第九	第八	第六
스위치	開關	短裙	行程	風格
스치다	擦過	折磨	枯萎	嫁去
스커트	短裙	行程	風格	絲襪
스케줄	行程	風格	絲襪	工作室
스타일	風格	絲襪	工作室	拖鞋
스타킹	絲襪	工作室	拖鞋	濕度
스튜디오	工作室	拖鞋	濕度	工人
슬리퍼	拖鞋	視力	濕度	乘客
슬쩍	迅速地	實際上	事實上	狠狠地
습기	濕度	溫度	乘客	承諾
습도	濕度	乘客	承諾	勝利
습하다	潮濕	驚人的	嚴重	新鮮的
승객	乘客	承諾	勝利	空中小姐
승낙	承諾	勝利	空中小姐	車
승리	勝利	空中小姐	車	晉升
승무원	空中小姐	車	晉升	乘車
승용차	車	晉升	乘車	車票
승진	晉升	乘車	車票	成敗
승차	乘車	車票	成敗	詩
승차권	車票	成敗	詩	時間
승패	成敗	詩	時間	視角
시	詩	時程表	鐘	鄉下
시각	時間	視角	菠菜	時期
시각	視角	視角	菠菜	時期
시금치	菠菜	時期	城市公交車	時代
시기	時期	城市公交車	時代	公婆家
시내버스	城市公交車	時代	公婆家	嘗試
시달리다	折磨	枯萎	嫁去	冷了
시대	時代	公婆家	嘗試	光碟片
시댁	公婆家	嘗試	光碟片	視力
시도	嘗試	光碟片	視力	系列
시들다	枯萎	嫁去	冷了	興奮的
시디	光碟片	視力	系列	水泥
시력	視力	系列	水泥	公婆
시리즈	系列	水泥	公婆	視線
시멘트	水泥	公婆	視線	設施
시부모	公婆	視線	設施	系統
시선	視線	設施	系統	岳父
시설	設施	系統	岳父	視野
시스템	系統	岳父	視野	市外
시아버지	岳父	視野	市外	城際巴士
시야	視野	市外	城際巴士	詩人
시외	市外	城際巴士	詩人	時日
시외버스	城際巴士	詩人	時日	市長
시인	詩人	時日	市長	時期
시일	時日	市長	時期	時間
시장	市長	市政府	考試	家人
시절	時期	時間	市場	婆家
시점	時間	市場	婆家	詩集
시중	市場	婆家	詩集	視聽
시집	婆家	詩集	視聽	收視率
시집	詩集	詩集	視聽	收視率
시집가다	嫁去	冷了	興奮的	裝
시청	視聽	考試	家人	麵包
시청률	收視率	觀眾	比賽	執法
시청자	觀眾	比賽	執法	試卷
시합	比賽	執法	試卷	餐具
시행	執法	試卷	餐具	餐廳
시험지	試卷	餐具	餐廳	食物
식기	餐具	餐廳	食物	食料品
식당가	餐廳	食物	食料品	植物
식량	食物	食料品	植物	伙食費
식료품	食料品	植物	伙食費	食物量
식물	植物	伙食費	食物量	食慾
식비	伙食費	食物量	食慾	食用油
식사량	食物量	食慾	食用油	食物中毒
식욕	食慾	食用油	食物中毒	食品店
식용유	食用油	食物中毒	食品店	吃飯後
식중독	食物中毒	食品店	吃飯後	上帝
식품점	食品店	吃飯後	上帝	勁
식후	吃飯後	上帝	勁	神經
식히다	冷了	興奮的	裝	撒
신	上帝	勁	神經	遺失物申告
신	勁	勁	神經	遺失物申告
신-	新	舊	信	行
신경	神經	遺失物申告	信仰	相信
신고	遺失物申告	信仰	相信	酸味
신기하다	驚人的	嚴重	新鮮的	清冷
신나다	興奮的	裝	撒	包住
신념	信仰	相信	酸味	報社
신뢰	相信	酸味	報社	報紙
신맛	酸味	報社	報紙	牧師
신문사	報社	報紙	牧師	身份
신문지	報紙	牧師	身份	神秘
신부	牧師	神父	身份證	申請
신분	身份	神秘	紳士	新產品
신비	神秘	紳士	新產品	身世，境遇
신사	紳士	新產品	身世，境遇	新一代
신상품	新產品	身世，境遇	新一代	信仰
신세	身世，境遇	新一代	信仰	信用
신세대	新一代	信仰	信用	新人
신앙	信仰	信用	新人	大一新生
신용	信用	新人	大一新生	新產品
신입	新人	大一新生	新產品	審慎
신입생	大一新生	新產品	審慎	申請書
신제품	新產品	審慎	申請書	身體
신중	審慎	申請書	身體	新婚
신청서	申請書	身體	新婚	新婚夫婦
신체	身體	新婚	新婚夫婦	神話
신체적	身體的	有用	心理	歷史的
신혼	新婚	新婚夫婦	神話	線
신혼부부	新婚夫婦	神話	線	真實感
신화	神話	線	真實感	裡面
실	線	真實感	裡面	技能
실감	真實感	裡面	技能	實例
실내	裡面	技能	實例	失望
실력	技能	實例	失望	實習
실례	實例	犯錯	失敗	大麥
실리다	裝	撒	包住	疊
실망	失望	實習	實踐	失業
실습	實習	實踐	失業	室長
실시	實踐	失業	室長	失踪
실업	失業	室長	失踪	實施
실용적	有用	心理	歷史的	藝術的
실은	實際上	事實上	狠狠地	甚至
실장	室長	失踪	實施	實體
실제	真實發生	昨天	今天	剛
실제로	事實上	狠狠地	甚至	非常好
실종	失踪	實施	實體	實驗
실천	實施	實體	實驗	實現
실체	實體	實驗	實現	疲勞
실컷	狠狠地	甚至	非常好	不必要的
실험	實驗	實現	疲勞	心理
실현	實現	疲勞	心理	差事
싫증	疲勞	心理	差事	審查
심각하다	嚴重	新鮮的	清冷	害羞的
심리	心理	差事	審查	心臟
심리적	心理	歷史的	藝術的	肉體的
심부름	差事	審查	心臟	心
심사	審查	心臟	心	審判
심장	心臟	心	審判	便宜貨
심정	心	審判	便宜貨	爭吵
심지어	甚至	非常好	不必要的	不
심판	審判	便宜貨	爭吵	廉價
십상	正好	現在	昨天	一整天
싱싱하다	新鮮的	清冷	害羞的	無用
싸구려	便宜貨	爭吵	廉價	一對
싸다	撒	吵架	堆積	切
싸움	爭吵	廉價	一對	雙胞胎
싸이다	包住	疊	腐爛	開
싼값	廉價	一對	雙胞胎	筆試
쌍	一對	雙胞胎	筆試	苦味
쌍둥이	雙胞胎	筆試	苦味	種子
쌓이다	疊	腐爛	開	倒
썩	非常好	不必要的	不	也許
썩다	腐爛	開	倒	倒出
썰렁하다	清冷	害羞的	無用	寂寞
쏘다	開	倒	倒出	吹
쏟다	倒	倒出	吹	酸痛
쏟아지다	倒出	吹	酸痛	摸
쐬다	吹	酸痛	摸	倒下
쑤시다	酸痛	摸	倒下	寫
쑥스럽다	害羞的	無用	寂寞	勇敢的
쓰기	筆試	苦味	種子	摔角
쓰다듬다	摸	倒下	寫	用
쓰러지다	倒下	寫	用	掃
쓰이다	寫	用	掃	戴上
쓰이다	用	用	掃	戴上
쓴맛	苦味	種子	摔角	甜味
쓸다	掃	戴上	沖刷	洗
쓸데없다	無用	寂寞	勇敢的	不是
쓸데없이	不必要的	不	也許	不管再怎麼
쓸쓸하다	寂寞	勇敢的	不是	美
씌우다	戴上	沖刷	洗	坐
씨	種子	摔角	火	早晨
씨름	摔角	種子	早晨	夏天
씨앗	種子	早晨	夏天	零
씩씩하다	勇敢的	不是	美	哪裡也
씻기다	沖刷	洗	坐	來
씻기다	洗	洗	坐	來
자	尺	打擾一下	這樣的	每個
자	哎	打擾一下	這樣的	每個
자가용	自己的車	資格	證書	刺激
자격	資格	證書	刺激	孩子們
자격증	證書	刺激	孩子們	自動的
자극	刺激	孩子們	自動的	資料
자기	自己	橫向	各自	前天
자꾸만	一直打擾	自然	滿滿地	迅速地
자녀	孩子們	自動的	資料	被子
자동	自動的	資料	被子	字幕
자라나다	長大	砍	富裕	鎖
자랑스럽다	自豪的	仔細	自然的	自由
자료	資料	被子	字幕	姐妹
자리	被子	孩子	自己	自由
자막	字幕	姐妹	資本	自豪
자매	姐妹	資本	自豪	自殺
자본	資本	自豪	自殺	姿勢
자부심	自豪	自殺	姿勢	自信
자살	自殺	姿勢	自信	自信感
자세	姿勢	自信	自信感	自然環境
자세하다	仔細	自然的	自由	很好
자신	自信	自由	炸醬麵	自行車
자신감	自信感	自然環境	資源	自尊心
자연스럽다	自然的	自由	很好	壯
자연적	自然的	長期	積極的	全國
자연환경	自然環境	資源	自尊心	朱紫色
자연히	自然	滿滿地	迅速地	那裡
자원	資源	自尊心	朱紫色	自炊
자유롭다	自由	很好	壯	低廉
자존심	自尊心	朱紫色	自炊	作家
자주색	朱紫色	自炊	作家	作曲
자취	自炊	作家	作曲	作曲家
작가	作家	作曲	作曲家	運轉
작곡	作曲	作曲家	運轉	作文
작곡가	作曲家	運轉	作文	作成
작동	運轉	作文	作成	作業
작문	作文	作成	作業	作用
작성	作成	作業	作用	叔叔
작업	作業	作用	叔叔	小媽媽
작용	作用	叔叔	小媽媽	小房子
작은아버지	叔叔	小媽媽	小房子	戰術
작은어머니	小媽媽	小房子	戰術	作品
작은집	小房子	戰術	作品	零錢
작전	戰術	作品	零錢	草地
작품	作品	零錢	草地	嘮叨
잔돈	零錢	草地	嘮叨	餘額
잔디밭	草地	嘮叨	餘額	睡衣
잔뜩	滿滿地	迅速地	那裡	自行
잔소리	嘮叨	餘額	睡衣	蜻蜓
잔액	餘額	睡衣	蜻蜓	結婚
잘나다	很好	壯	低廉	適切
잘리다	砍	富裕	鎖	表示
잘살다	富裕	貧窮	鎖	下沉
잠그다	鎖	輸	下沉	睡著
잠기다	鎖	下沉	睡著	拉
잠기다	下沉	下沉	睡著	拉
잠들다	睡著	拉	抓來吃	被抓
잠옷	睡衣	蜻蜓	結婚	部長
잠자리	蜻蜓	結婚	部長	長期間
잡아당기다	拉	抓來吃	被抓	秤
잡아먹다	抓來吃	被抓	秤	使睡
잡히다	被抓	秤	使睡	像那樣
장가	結婚	部長	長期間	玩笑
장관	部長	長期間	玩笑	長子
장기간	長期間	玩笑	長子	利弊
장기적	長期	積極的	全國	專業的
장난	玩笑	長子	利弊	未來
장남	長子	利弊	未來	葬禮
장단점	利弊	未來	葬禮	類型
장래	未來	葬禮	類型	雨季
장례식	葬禮	類型	雨季	場景
장르	類型	雨季	場景	岳母
장마철	雨季	場景	岳母	玫瑰
장면	場景	岳母	玫瑰	商業
장모	岳母	玫瑰	商業	長命
장미꽃	玫瑰	商業	長命	裝飾
장사	商業	長命	裝飾	障礙
장수	長命	裝飾	障礙	障礙人
장식	裝飾	障礙	障礙人	丈人
장애	障礙	障礙人	丈人	優點
장애인	障礙人	丈人	優點	獎學
장인	丈人	優點	獎學	獎學金
장점	優點	獎學	獎學金	天賦
장하다	壯	低廉	適切	文雅的
장학	獎學	獎學金	天賦	煙灰缸
장학금	獎學金	天賦	煙灰缸	財產
재-	再	新	舊	老
재능	天賦	煙灰缸	財產	再生
재다	秤	使睡	像那樣	犯
재떨이	煙灰缸	財產	再生	運氣
재빨리	迅速地	那裡	自行	適度
재산	財產	再生	運氣	去年
재생	再生	運氣	去年	技能
재수	運氣	去年	技能	夾克
재우다	使睡	像那樣	犯	變少
재작년	去年	技能	夾克	審判
재주	技能	夾克	審判	在學
재킷	夾克	審判	在學	學生
재판	審判	在學	學生	回收
재학	在學	學生	回收	可回收物
재학생	學生	回收	可回收物	果醬
재활용	回收	可回收物	果醬	低級
재활용품	可回收物	果醬	低級	晚上
잼	果醬	低級	晚上	秤
쟤	那小孩	我的	近	輕
저-	初	處	新	近
저급	低級	晚上	秤	作者
저기	打擾一下	那個人	那邊	我們
저녁때	晚上	秤	作者	保存
저러다	像那樣	犯	變少	寫下
저렴하다	低廉	適切	文雅的	忙於
저리	那裡	自行	適度	至少
저마다	每個	那麼多	一整天	一個人
저만큼	那麼多	一整天	一個人	好
저울	秤	作者	保存	儲蓄
저자	作者	保存	儲蓄	敵人
저장	保存	儲蓄	敵人	積極地
저절로	自行	適度	至少	絕對
저지르다	犯	變少	寫下	進入
저축	儲蓄	敵人	積極地	資質
적	敵人	積極地	資質	適用
적극	積極地	資質	適用	適應
적극적	積極的	全國	專業的	全體的
적당히	適度	至少	絕對	真的
적성	資質	適用	適應	赤字
적어도	至少	絕對	真的	確切地
적어지다	變少	寫下	進入	接到
적용	適用	適應	赤字	展現
적응	適應	赤字	展現	全國
적자	赤字	展現	全國	前夕
적절하다	適切	文雅的	忙於	小的
적히다	寫下	進入	接到	攪
전개	展現	全國	前夕	中繼
전국	全國	前夕	中繼	展望
전국적	全國	專業的	全體的	傳統的
전날	前夕	中繼	展望	專業
전달	中繼	展望	專業	專家
전망	展望	專業	專家	專賣店
전문	專業	專家	專賣店	職業
전문가	專家	專賣店	職業	傳奇
전문적	專業的	全體的	傳統的	絕對的
전문점	專賣店	職業	傳奇	全租
전문직	職業	傳奇	全租	展覽
전설	傳奇	全租	展覽	展示展
전세	全租	展覽	展示展	展示會
전시	展覽	展示展	展示會	專用
전시장	展示展	展示會	專用	全員
전시회	展示會	專用	全員	電源
전용	專用	全員	電源	電子的
전원	全員	電源	電子的	微波爐
전원	電源	電源	電子的	微波爐
전자	電子的	微波爐	電子詞典	戰爭
전자레인지	微波爐	電子詞典	戰爭	前提
전자사전	電子詞典	戰爭	前提	承接傳統
전쟁	戰爭	前提	承接傳統	前後
전제	前提	承接傳統	前後	廟
전체적	全體的	傳統的	絕對的	定期
전통	承接傳統	前後	廟	禮
전통적	傳統的	絕對的	定期	正常的
전후	前後	廟	禮	節
절	廟	禮	節	絕望
절	禮	禮	節	絕望
절	節	禮	節	絕望
절대	絕對	逐步地	實際上	最大的
절대로	絕對	真的	確切地	如願地
절대적	絕對的	定期	正常的	精神的
절망	絕望	一半	保存	手續
절반	一半	保存	手續	年輕人
절약	保存	手續	年輕人	青春
절차	手續	年輕人	青春	檢驗
젊은이	年輕人	青春	檢驗	店員
젊음	青春	檢驗	店員	夾克
점	點	每週	光圈	四
점검	檢驗	店員	夾克	接近
점원	店員	夾克	接近	連接
점잖다	文雅的	忙於	小的	當心
점차	逐步地	實際上	最大的	最少
점퍼	夾克	接近	連接	接受
접근	接近	連接	接受	接觸
접속	連接	接受	接觸	感情
접수	接受	接觸	感情	定期
접어들다	進入	接到	攪	纏
접촉	接觸	感情	定期	正確答案
접하다	接到	攪	纏	縮小
젓다	攪	纏	縮小	交談
정	感情	定期	正確答案	政黨
정기	定期	正確答案	政黨	正面
정기적	定期	正常的	精神的	政治的
정답	正確答案	政黨	正面	完全相反
정당	政黨	正面	完全相反	信息
정말로	真的	確切地	如願地	請
정면	正面	完全相反	信息	信息化
정반대	完全相反	信息	信息化	政府
정보	信息	信息化	政府	正常
정보화	信息化	政府	正常	全力
정부	政府	正常	全力	飲水機
정상	正常	全力	飲水機	正式
정상적	正常的	精神的	政治的	宗教的
정성	全力	飲水機	正式	精神
정수기	飲水機	正式	精神	中午
정식	正式	精神	中午	定員
정신	精神	中午	定員	肉店
정신없다	忙於	小的	當心	無聊的
정신적	精神的	政治的	宗教的	主觀
정오	中午	定員	肉店	定義
정원	定員	整型外科	正確	標題
정육점	肉店	定義	正式衣服	停止
정의	定義	正式衣服	停止	正直
정작	實際上	最大的	最少	一次
정장	正式衣服	停止	正直	安定
정지	停止	正直	安定	政策
정직	正直	安定	政策	政治
정착	安定	政策	政治	政治家
정책	政策	政治	政治家	奶水
정치	政治	政治家	奶水	消除
정치인	政治家	奶水	消除	提供
정치적	政治的	宗教的	主觀	直接的
정확히	確切地	如願地	請	相當
젖	奶水	消除	提供	製果店
제	我的	什麼時候	什麼	某
제-	第-	大	小	非
제거	消除	提供	製果店	制度
제공	提供	製果店	制度	準時
제과점	製果店	制度	準時	祭祀
제대로	如願地	請	相當	很少
제도	制度	準時	祭祀	提議
제때	準時	祭祀	提議	放棄
제발	請	相當	很少	經常
제법	相當	很少	經常	一路
제사	祭祀	提議	準時	補助
제시	提議	準時	忘記	限制
제시간	準時	提議	限制	除了
제안	提議	限制	除了	弟子
제약	限制	除了	弟子	原處
제외	除了	弟子	原處	生產
제자	弟子	原處	生產	提交
제자리	原處	生產	提交	產品
제작	生產	提交	產品	限制
제출	提交	產品	限制	碎塊
제품	產品	限制	碎塊	條件
제한	限制	碎塊	條件	提前
조	五兆二千億	千	第四	第五個
조각	碎塊	條件	提前	跑步
조건	條件	提前	跑步	背心
조그맣다	小的	當心	無聊的	骯髒的
조기	提前	跑步	背心	烹飪
조깅	跑步	背心	烹飪	炖
조끼	背心	烹飪	炖	光
조르다	纏	縮小	交談	被給予
조리	烹飪	炖	光	調味品
조림	炖	光	調味品	研究
조명	光	調味品	研究	祖先
조미료	調味品	研究	祖先	建議
조사	研究	祖先	建議	操作
조상	祖先	建議	操作	控制
조심스럽다	當心	無聊的	骯髒的	聰慧
조언	建議	操作	控制	調整
조작	操作	控制	調整	和諧
조절	控制	調整	和諧	尊敬
조정	調整	和諧	尊敬	存在
조화	和諧	尊敬	存在	尊重
존경	尊敬	存在	尊重	畢業生
존재	存在	尊重	畢業生	畢業典禮
존중	尊重	畢業生	畢業典禮	睡意
졸리다	困	偶爾	滿滿地	最
졸업생	畢業生	畢業典禮	睡意	宗教
졸업식	畢業典禮	睡意	宗教	小腿
졸음	睡意	宗教	小腿	紙杯
좀처럼	很少	經常	一路	再
좁히다	縮小	交談	被給予	癱坐
종교	宗教	小腿	紙杯	合成
종교적	宗教的	主觀	直接的	密集的
종아리	小腿	紙杯	合成	座位
종이컵	紙杯	合成	座位	左右
종일	一整天	一個人	好	嗯
종종	經常	一路	再	極其
종합	合成	座位	左右	左邊
좌석	座位	左右	左邊	左轉
좌우	左右	左邊	左轉	犯罪
좌측	左邊	左轉	犯罪	皺紋
좌회전	左轉	犯罪	皺紋	拳頭
죄	犯罪	皺紋	拳頭	注目
주간	每週	光圈	四	二
주고받다	交談	被給予	癱坐	殺
주관적	主觀	直接的	密集的	衝擊的
주름	皺紋	拳頭	注目	公民
주먹	拳頭	注目	公民	廚房
주목	注目	公民	廚房	股票
주민	公民	廚房	股票	主要的
주방	廚房	股票	主要的	加油站
주식	股票	主要的	加油站	警告
주어지다	被給予	癱坐	殺	減少
주요	主要的	加油站	警告	主角
주유소	加油站	警告	主角	觀點
주의	警告	主角	觀點	壺
주인공	主角	觀點	壺	話題
주장	觀點	壺	話題	停車票
주저앉다	癱坐	殺	減少	嘟嘟囔囔 ，喃喃自语
주전자	壺	話題	停車票	停車費
주제	話題	停車票	停車費	住宅
주차권	停車票	停車費	住宅	稀飯
주차료	停車費	住宅	稀飯	死亡
주택	住宅	稀飯	死亡	材料
죽	稀飯	死亡	材料	故事情節
죽음	死亡	材料	故事情節	莖
죽이다	殺	減少	嘟嘟囔囔 ，喃喃自语	握
준비물	材料	故事情節	莖	跳繩
줄거리	故事情節	莖	跳繩	條紋
줄곧	一路	再	極其	迄今為止
줄기	莖	跳繩	條紋	僧人
줄넘기	跳繩	條紋	僧人	中古
줄무늬	條紋	僧人	中古	二手車
줄어들다	減少	嘟嘟囔囔 ，喃喃自语	握	攜帶
중	僧人	中古	二手車	二手貨
중고	中古	二手車	二手貨	中文
중고차	二手車	二手貨	中文	中國人
중고품	二手貨	中文	中國人	中級
중국어	中文	中國人	中級	停止
중국인	中國人	中級	停止	中毒
중급	中級	停止	中毒	中期
중단	停止	中毒	中期	中部
중독	中毒	中期	中部	中小企業
중반	中期	中部	中小企業	中心
중부	中部	中小企業	中心	中式
중소기업	中小企業	中心	中式	中國
중순	中心	中式	忠誠	重要性
중식	中式	中心	重要性	中型車
중심지	中心	重要性	中型車	老鼠
중얼거리다	嘟嘟囔囔 ，喃喃自语	握	攜帶	日落
중요성	重要性	中型車	老鼠	立即的
중형차	中型車	老鼠	立即的	立即地
쥐	老鼠	立即的	立即地	喜悅
쥐다	握	攜帶	日落	背
즉	再	極其	迄今為止	哧地 (笔直地划线貌)
즉석	立即的	立即地	喜悅	增加
즉시	立即地	喜悅	增加	證據
즐거움	喜悅	增加	證據	證明
증가	增加	證據	證明	證書
증거	證據	證明	證書	症狀
증명	證明	證書	症狀	正確
증명서	證書	證據	症狀	懂事
증상	症狀	健康	懂事	地球
증세	症狀	懂事	地球	利息
지각	懂事	錢包	上次	上個星期
지겹다	無聊的	骯髒的	聰慧	真正
지구	地球	利息	過往	智力
지극히	極其	迄今為止	哧地 (笔直地划线貌)	真
지금껏	迄今為止	哧地 (笔直地划线貌)	真	慢慢
지급	利息	過往	智力	指導
지나치다	過於	大	-種	一個
지난날	過往	智力	指導	指導者
지능	智力	指導	指導者	捷徑
지니다	攜帶	日落	背	疲倦
지다	日落	喊出	擦	保衛
지다	背	喊出	擦	保衛
지도	指導	地方	橡皮擦	地下
지도자	指導者	捷徑	脂肪	支付
지름길	捷徑	脂肪	支付	屋頂
지방	脂肪	橡皮擦	地下	地下道
지불	支付	屋頂	操作說明	知識
지붕	屋頂	操作說明	知識	知識分子
지시	操作說明	知識	知識分子	區域
지식	知識	知識分子	區域	地獄
지식인	知識分子	區域	地獄	支持
지역	區域	地獄	支持	應聘
지옥	地獄	支持	應聘	地位
지원	支持	應聘	地位	指責
지원	應聘	應聘	地位	指責
지위	地位	指責	指定	地震
지저분하다	骯髒的	聰慧	真正	認真的
지적	指責	指定	地震	支出
지정	指定	地震	支出	拉鍊
지진	地震	支出	拉鍊	錢
지출	支出	拉鍊	錢	地下室
지치다	疲倦	觀看	夾	送進
지켜보다	觀看	夾	送進	吠
지퍼	拉鍊	錢	地下室	智慧
지폐	錢	地下室	智慧	直線
지하실	地下室	智慧	直線	上班族
지혜	智慧	直線	上班族	直的
지혜롭다	聰慧	真正	認真的	濃郁
직선	直線	上班族	直的	之後
직장인	上班族	直的	之後	診斷
직접적	直接的	密集的	衝擊的	基本的
직진	直的	之後	診斷	診斷書
직후	之後	診斷	診斷書	振動
진단	診斷	診斷書	振動	課程
진단서	診斷書	振動	課程	真相
진동	振動	課程	真相	陳述
진로	課程	真相	陳述	真實
진리	真相	陳述	真實	誠意
진술	陳述	真實	誠意	診察
진실	真實	誠意	診察	進入
진심	誠意	診察	進入	止痛藥
진정하다	真正	認真的	濃郁	煩燥
진지하다	認真的	濃郁	煩燥	涼
진찰	診察	進入	止痛藥	進學
진출	進入	止痛藥	進學	進行
진통제	止痛藥	進學	進行	主持人
진학	進學	進行	主持人	質量
진행	進行	主持人	質量	疾病
진행자	主持人	質量	疾病	秩序
질	質量	疾病	秩序	妒忌
질병	疾病	秩序	妒忌	獸
질서	秩序	妒忌	獸	猜測
질투	妒忌	獸	猜測	團體
짐승	獸	猜測	團體	租
짐작	猜測	團體	租	家
집다	夾	送進	吠	拄
집단	團體	租	家	集中
집세	租	家	集中	行為
집안	家	集中	行為	雙數
집어넣다	送進	吠	拄	編織
집중	集中	行為	雙數	咸
집중적	密集的	衝擊的	基本的	韓國的
짓	行為	雙數	咸	頁
짖다	吠	拄	編織	擠
짙다	濃郁	煩燥	涼	淡
짚다	拄	編織	擠	趕出
짜다	編織	擠	趕出	追趕
짜다	擠	擠	趕出	追趕
짜증스럽다	煩燥	熱	涼	好
짝수	雙數	咸	頁	浴
짠맛	咸	頁	浴	七月
쪽	頁	浴	七月	車
쪽	-片	浴	七月	車
쫓겨나다	趕出	追趕	追	趕去
쫓기다	追趕	追	趕去	踢出去
쫓다	追	趕去	踢出去	跟著
쫓아가다	趕去	踢出去	跟著	追上來
쫓아내다	踢出去	跟著	追上來	扎
쫓아다니다	跟著	追上來	扎	皺眉
쫓아오다	追上來	扎	皺眉	劈
쭉	哧地 (笔直地划线貌)	真	慢慢	不如
찌르다	扎	皺眉	劈	蓋
찌푸리다	皺眉	劈	蓋	閉眼
찍다	劈	長大	砍	富裕
찍히다	蓋	皺眉	眼淚	撕裂
찜질	浴	七月	車	茶
찡그리다	皺眉	眼淚	撕裂	滿滿地
찢다	眼淚	撕裂	滿滿地	踢
찢어지다	撕裂	滿滿地	踢	戴
다가가다	走近	緊挨著	離開	去一趟
다가서다	緊挨著	走近	去一趟	修剪
다가오다	走近	去一趟	修剪	處理
다녀가다	去一趟	修剪	處理	熨燙
다듬다	修剪	處理	熨燙	閉
다루다	處理	熨燙	閉	剁碎
다름없다	一樣	慶幸	硬	端正的
다리다	熨燙	閉	剁碎	競爭
다리미	熨斗	咖啡廳	多數人	下載
다물다	閉	剁碎	競爭	關閉
다방	咖啡廳	多數人	下載	多情
다소	略	我自己	真實發生	昨天
다수	多數人	下載	多情	承諾
다운로드	下載	多情	承諾	慶幸
다정	多情	承諾	慶幸	階段
다지다	剁碎	競爭	關閉	解開
다짐	承諾	慶幸	階段	常去的；常光顧的
다투다	競爭	關閉	解開	改變
다행	慶幸	階段	常去的；常光顧的	短期
다행스럽다	慶幸	硬	端正的	甜的
다행히	幸虧	簡單地	不同	當然
단	僅僅	兩三個	胡亂想	星期幾
단계	階段	常去的；常光顧的	短期	單獨
단골	常去的；常光顧的	短期	單獨	甜味
단기	短期	單獨	甜味	短髮
단단하다	硬	端正的	甜的	清淡
단독	單獨	甜味	短髮	管制
단맛	甜味	短髮	管制	單位
단발머리	短髮	管制	單位	缺點
단속	管制	單位	缺點	團地
단순히	簡單地	不同	當然	非常
단위	單位	缺點	團地	組織
단점	缺點	團地	組織	月光
단정하다	端正的	甜的	清淡	自信的
단지	團地	組織	月光	達成
단체	組織	月光	達成	牆
닫히다	關閉	解開	改變	哄
달다	解開	改變	哄	跑去
달라지다	改變	哄	跑去	趕上
달래다	哄	跑去	趕上	而來
달러	美元	日元	韓元	台幣
달려가다	跑去	趕上	而來	繫好
달려들다	趕上	而來	繫好	逃跑
달려오다	而來	繫好	逃跑	達到
달리	不同	當然	非常	大致上
달리다	繫好	像	扔	帶去
달빛	月光	達成	牆	다음 的略語
달성	達成	牆	다음 的略語	主管
달아나다	逃跑	達到	磨破	泡在
달콤하다	甜的	清淡	自信的	當然
달하다	達到	磨破	泡在	放在
닳다	磨破	泡在	放在	裝
담	牆	다음 的略語	主管	負責人
담	다음 的略語	다음 的略語	主管	負責人
담그다	泡在	放在	裝	拉
담기다	放在	裝	拉	遇到
담다	裝	拉	遇到	沾
담당	主管	負責人	毯子	導師
담당자	負責人	毯子	導師	回答
담백하다	清淡	自信的	當然	驚人的
담요	毯子	導師	回答	五天
담임	導師	回答	五天	胡蘿蔔
답변	回答	五天	胡蘿蔔	當時
닷새	五天	胡蘿蔔	當時	當日
당근	胡蘿蔔	當時	當日	馬上
당기다	拉	遇到	沾	趕到
당당하다	自信的	當然	驚人的	獨特的
당분간	暫時	大綱	大概	大略
당시	當時	當日	馬上	中獎
당신	您	什麼	哪裡	這裡
당연하다	當然	驚人的	獨特的	烈
당연히	當然	非常	大致上	大致
당일	當日	馬上	中獎	驚慌
당장	馬上	中獎	驚慌	代價
당첨	中獎	驚慌	代價	大規模
당하다	遇到	沾	趕到	面對
당황	驚慌	代價	大規模	大氣
닿다	沾	趕到	面對	弄髒
대	莖幹	石頭	籌措	車輪
대-	大	小	前	後
대가	代價	大規模	大氣	等待
대강	大綱	大概	大略	每年
대개	大概	大略	每年	每月
대규모	大規模	大氣	等待	大公司
대기	大氣	等待	大公司	正午
대기	等待	等待	大公司	正午
대기업	大公司	正午	大多數	大城市
대낮	正午	大多數	大城市	大量
대다	趕到	面對	弄髒	來不及
대다수	大多數	大城市	大量	大道
대단하다	驚人的	獨特的	烈	圓形的
대단히	非常	大致上	大致	況且
대도시	大城市	大量	大道	代理
대략	大略	每年	每月	每天
대량	大量	大道	代理	對立
대로	大道	代理	對立	大門
대리	代理	對立	大門	對比
대립	對立	大門	對比	準備
대문	大門	對比	準備	大使
대비	對比	準備	大使	台詞
대비	準備	準備	大使	台詞
대사	大使	台詞	對象	代理
대사	台詞	台詞	對象	代理
대상	對象	對待	代替	對應
대상자	對象	代替	對應	款待
대신	代替	對應	款待	比對
대여섯	五六	萬	四十	百
대응	對應	款待	比對	大眾
대접	款待	比對	大眾	流行歌
대조	比對	大眾	流行歌	公共交通
대중	大眾	流行歌	公共交通	流行文化
대중가요	流行歌	公共交通	流行文化	對策
대중교통	公共交通	流行文化	對策	對應
대중문화	流行文化	對策	對應	大掃除
대책	對策	對應	大掃除	替代
대처	對應	大掃除	替代	借出
대청소	大掃除	替代	借出	總統
대체	替代	借出	總統	代表
대체로	大致上	大致	況且	越來越
대출	借出	總統	代表	大韓民國
대충	大致	況且	越來越	更
대통령	總統	代表	大韓民國	大型
대표	代表	大韓民國	大型	水庫
대표적	代表的	文化的	物質的	合法的
대하다	面對	背對	弄髒	一起
